order_id,customer_id,customer_name,email,product,quantity,order_amount,order_date,status,region
1001,2824,Allison Hill,donaldgarcia@example.net,Laptop,5,497.33,2025-11-22,processing,North
1002,9935,Angie Henderson,davisjesse@example.net,Laptop,10,849.62,2025-11-12,pending,North
1003,4811,Cristian Santos,lrobinson@example.com,Keyboard,10,62.81,2026-03-10,processing,West
1004,8359,Abigail Shaffer,jpeterson@example.org,Keyboard,5,1620.77,2026-03-09,pending,South
1005,7924,Gabrielle Davis,howardmaurice@example.com,Tablet,5,319.4,2025-11-07,shipped,North
1006,7224,Monica Herrera,smiller@example.net,Laptop,6,1696.51,2026-04-11,shipped,North
1007,9785,Shannon Ray,williamsjeremy@example.com,Laptop,7,166.81,2026-01-07,shipped,East
1008,4150,Dr. Sharon James,xreid@example.org,Laptop,1,1325.91,2025-12-08,shipped,North
1009,2654,Daniel Adams,lynchgeorge@example.net,Monitor,5,912.29,2026-03-06,shipped,South
1010,6820,Joel Nelson,gabriellecameron@example.org,Phone,5,1406.62,2026-01-30,pending,South
1011,5010,Andrew Stewart,carl95@example.org,Phone,8,765.12,2025-12-19,processing,East
1012,4752,Jennifer Rocha,ithomas@example.org,Laptop,6,808.32,2026-04-20,pending,South
1013,6155,Kimberly Burgess,zhurst@example.com,Phone,8,797.31,2025-12-10,delivered,South
1014,3287,Zachary Hicks,camposmichelle@example.org,Phone,9,1082.56,2026-02-26,delivered,West
1015,4593,Rebecca Henderson,cruzcaitlin@example.com,Phone,9,992.1,2026-02-01,pending,North
1016,3621,Tricia Valencia,frazierdanny@example.net,Monitor,10,136.42,2026-03-26,delivered,West
1017,5119,Patricia Peterson,ryan70@example.net,Keyboard,1,1363.76,2025-12-20,pending,East
1018,6573,Deborah Mason,williamrodriguez@example.net,Laptop,5,875.18,2025-11-21,delivered,North
1019,9201,Mark Lynch,nathanielmartin@example.net,Phone,9,1826.13,2026-02-26,shipped,South
1020,7126,Linda Burns,hickmannatasha@example.com,Phone,9,1907.46,2026-03-26,pending,East
1022,4946,Kim Martinez,karroyo@example.com,Keyboard,2,180.45,2026-04-20,delivered,North
1023,3060,Lisa Brandt,jenniferross@example.net,Phone,8,1894.23,2025-12-19,processing,East
1024,7932,Jessica Holmes,wrightcaleb@example.org,Phone,9,1512.98,2025-12-20,processing,East
1025,7118,Crystal Robinson,zimmermanbrian@example.org,Monitor,9,908.46,2026-01-22,processing,South
1026,6539,Shannon Jones,joshuawashington@example.net,Laptop,10,1112.3,2026-04-18,processing,North
1028,4899,Brent Jordan,ujenkins@example.org,Tablet,8,436.33,2025-12-24,processing,West
1029,8749,Victoria Garcia,zchandler@example.org,Monitor,4,197.71,2026-03-03,delivered,East
1030,7735,Connor West,dwhite@example.org,Monitor,1,1350.0,2026-01-16,pending,North
1031,6559,Angela Morton,williamsyvette@example.org,Laptop,4,391.26,2026-01-21,delivered,South
1033,2604,Carmen Smith,ybaker@example.com,Laptop,9,1673.69,2025-12-15,pending,South
1034,7658,Michael Cross,smoore@example.org,Monitor,8,435.36,2026-03-23,delivered,North
1035,7209,Lauren Daniels,brian97@example.net,Laptop,7,537.75,2026-03-23,delivered,East
1036,8973,Kim Brown,yorkcasey@example.org,Phone,4,600.45,2026-01-16,pending,North
1037,1936,Cynthia Wilson,bethwilliams@example.org,Laptop,10,958.81,2026-02-13,processing,North
1038,2312,Kevin Mills,james53@example.com,Phone,2,1194.12,2025-12-25,pending,West
1039,5033,Michael Evans,sarah10@example.com,Keyboard,10,89.09,2026-04-04,pending,West
1040,9565,Kristine Garcia,williamanderson@example.com,Tablet,5,416.48,2025-11-17,shipped,South
1041,7484,Sherry Wood,samueldaniels@example.com,Phone,5,919.88,2026-02-26,pending,North
1042,2638,Victoria Valdez,contrerasangela@example.net,Laptop,9,434.18,2026-01-07,shipped,South
1043,2127,Shawn Baker,newtoneric@example.com,Phone,6,577.12,2026-02-04,delivered,East
1044,9666,Michelle Harris,william40@example.org,Laptop,9,605.76,2025-11-29,pending,South
1045,2891,Sandra Williams,kellie42@example.net,Laptop,9,319.34,2026-02-26,shipped,South
1046,4335,Michael Hoffman,jonesnicole@example.org,Tablet,9,982.18,2026-02-06,pending,North
